City,State,Percent
孝感市,湖北省,14.56
黄冈市,湖北省,14.08
荆州市,湖北省,7.65
咸宁市,湖北省,4.74
襄阳市,湖北省,4.50
荆门市,湖北省,4.19
黄石市,湖北省,3.86
随州市,湖北省,3.79
仙桃市,湖北省,3.30
鄂州市,湖北省,3.28
宜昌市,湖北省,3.18
天门市,湖北省,2.34
十堰市,湖北省,2.06
信阳市,河南省,1.76
恩施州,湖北省,1.76
潜江市,湖北省,1.35
重庆市,重庆市,1.04
南阳市,河南省,0.77
驻马店市,河南省,0.66
长沙市,湖南省,0.60
岳阳市,湖南省,0.58
九江市,江西省,0.50
安庆市,安徽省,0.50
周口市,河南省,0.42
常德市,湖南省,0.40
北京市,北京市,0.39
南昌市,江西省,0.38
广州市,广东省,0.37
深圳市,广东省,0.35
商丘市,河南省,0.33
阜阳市,安徽省,0.33
郑州市,河南省,0.31
成都市,四川省,0.29
上海市,上海市,0.28
宜春市,江西省,0.26
合肥市,安徽省,0.25
衡阳市,湖南省,0.24
益阳市,湖南省,0.24
漯河市,河南省,0.22
温州市,浙江省,0.22
西安市,陕西省,0.21
邵阳市,湖南省,0.20
六安市,安徽省,0.19
福州市,福建省,0.18
泉州市,福建省,0.17
株洲市,湖南省,0.17
昆明市,云南省,0.17
娄底市,湖南省,0.17
上饶市,江西省,0.16
许昌市,河南省,0.15
新乡市,河南省,0.15
菏泽市,山东省,0.15
开封市,河南省,0.14
平顶山市,河南省,0.14
石家庄市,河北省,0.14
洛阳市,河南省,0.14
赣州市,江西省,0.14
抚州市,江西省,0.14
吉安市,江西省,0.13
安阳市,河南省,0.13
南京市,江苏省,0.13
徐州市,江苏省,0.12
湘潭市,湖南省,0.12
邯郸市,河北省,0.12
郴州市,湖南省,0.12
永州市,湖南省,0.11
三亚市,海南省,0.11
哈尔滨市,黑龙江省,0.11
芜湖市,安徽省,0.11
厦门市,福建省,0.11
惠州市,广东省,0.11
怀化市,湖南省,0.11
桂林市,广西壮族自治区,0.11
南宁市,广西壮族自治区,0.11
杭州市,浙江省,0.11
达州市,四川省,0.10
东莞市,广东省,0.09
南通市,江苏省,0.09
亳州市,安徽省,0.09
宿州市,安徽省,0.09
珠海市,广东省,0.09
邢台市,河北省,0.09
保定市,河北省,0.09
北海市,广西壮族自治区,0.09
濮阳市,河南省,0.09
海口市,海南省,0.09
盐城市,江苏省,0.09
苏州市,江苏省,0.09
泰州市,江苏省,0.09
安康市,陕西省,0.09
焦作市,河南省,0.08
铜陵市,安徽省,0.08
台州市,浙江省,0.08
湛江市,广东省,0.08
沧州市,河北省,0.07
天津市,天津市,0.07
临沂市,山东省,0.07
扬州市,江苏省,0.07
无锡市,江苏省,0.07
南充市,四川省,0.07
