City,Population2010,Population2018
重庆市,3017.42,3101.79
上海市,2301.91,2423.78
北京市,2300.24,2154.2
成都市,1404.76,1633
天津市,1293.82,1559.60
广州市,1270.08,1490.44
深圳市,1035.79,1302.66
武汉市,910,1108
南阳市,1026.30,1198.07
临沂市,1003.94,1124
石家庄市,1016.38,1095.16
哈尔滨市,1063.60,1085.8
苏州市,1046.60,1068.4
保定市,1119.44,1046.92
郑州市,1013.6,
西安市,1000.3,
邯郸市,917.47,
温州市,912.21,
潍坊市,908.62,
周口市,895.32,
青岛市,871.51,
杭州市,870.04,
徐州市,858.05,
赣州市,836.84,
菏泽市,828.78,
东莞市,822.02,
泉州市,812.85,
沈阳市,810.62,
济宁市,808.19,
南京市,800.47,
长春市,767.71,
宁波市,760.57,
阜阳市,760.00,
唐山市,757.73,
商丘市,736.25,
南通市,728.28,
盐城市,726.02,
驻马店市,723.07,
佛山市,719.43,
衡阳市,714.15,
沧州市,713.41,
福州市,711.54,
邢台市,710.41,
邵阳市,707.18,
长沙市,704.41,
湛江市,699.33,
烟台市,696.82,
济南市,681.40,
大连市,669.04,
南宁市,666.16,756
黄冈市,616.21,750
南充市,627.86,732.69
洛阳市,654.95,713.67
上饶市,657.97,675.2
昆明市,643.20,672.80
毕节市,653.64,664.18
无锡市,637.26,657.45
曲靖市,585.50,652.97
信阳市,610.87,645.36
聊城市,578.99,639.69
遵义市,612.70,624.83
茂名市,581.78,620.41
台州市,596.88,611.8
揭阳市,587.70,608.6
常德市,571.72,582.7
新乡市,570.78,
合肥市,570.20,
荆州市,569.17,
六安市,561.20,
德州市,556.82,
襄阳市,550.03,
泰安市,549.42,
玉林市,548.74,
岳阳市,547.79,
达州市,546.81,
宜春市,541.96,
绥化市,541.64,
汕头市,539.10,
齐齐哈尔市,536.70,
金华市,536.16,
宿州市,535.30,
安庆市,531.10,
渭南市,528.61,
昭通市,521.30,
永州市,518.02,
安阳市,517.28,
运城市,513.48,
南昌市,504.26,
绍兴市,491.22,
平顶山市,490.44,
咸阳市,489.48,
亳州市,485.10,
孝感市,481.45,
吉安市,481.03,
漳州市,481.00,
淮安市,479.99,
桂林市,474.80,
怀化市,474.19,
九江市,472.88,
宿迁市,471.56,
开封市,467.6,
泰州市,461.8,
绵阳市,461.3,
惠州市,459.70,
常州市,459.20,
郴州市,458.18,
凉山州,453.28,
淄博市,453.06,
嘉兴市,450.17,
红河州,450.10,
宜宾市,447.20,
扬州市,445.98,
江门市,444.89,
吉林市,441.47,
连云港市,439.39,
廊坊市,435.88,
张家口市,434.55,
赤峰市,434.12,
衡水市,434.08,
贵阳市,432.46,
临汾市,431.66,
益阳市,431.31,
许昌市,430.72,
梅州市,424.01,
泸州市,421.84,
太原市,420.16,
贵港市,411.88,
宜昌市,405.97,
喀什地区,397.94,
滁州市,393.80,
肇庆市,391.81,
抚州市,391.23,
巢湖市,387.30,
株洲市,385.56,
娄底市,378.56,
柳州市,375.87,
湘潭市,374.86,
滨州市,374.85,
枣庄市,372.93,
吕梁市,372.71,
宝鸡市,371.67,
内江市,370.28,
清远市,369.84,
资阳市,366.51,
鞍山市,364.59,
兰州市,361.62,
德阳市,361.58,
濮阳市,359.85,
焦作市,353.99,
厦门市,353.13,
文山州,351.80,
黔东南州,348.06,
承德市,347.32,
百色市,346.68,
大理州,345.60,
汉中市,341.62,
四平市,338.63,
河池市,336.92,
榆林市,335.14,
十堰市,334.08,
长治市,333.46,
大同市,331.81,
恩施州,329.03,
巴中市,328.38,
天水市,326.25,
遂宁市,325.26,
晋中市,324.94,
乐山市,323.58,
黔南州,323.12,
广安市,320.55,
铜仁市,,316.88
蚌埠市,316.40,
通辽市,313.92,
锦州市,312.65,
中山市,312.09,
镇江市,311.34,
乌鲁木齐市,311.03,
铜仁地区,309.24,
钦州市,307.97,
忻州市,306.75,
朝阳市,304.46,
秦皇岛市,298.76,
河源市,295.30,
眉山市,295.05,
汕尾市,293.57,
大庆市,290.45,
湖州市,289.35,
梧州市,288.22,
松原市,288.11,
荆门市,287.37,
呼和浩特市,286.66,
六盘水市,285.12,
韶关市,282.66,
宁德市,282.20,
黔西南州,280.59,
威海市,280.48,
日照市,280.11,
牡丹江市,279.87,
莆田市,277.85,
铁岭市,271.77,
定西市,269.86,
楚雄州,268.40,
自贡市,267.89,
潮州市,266.98,
包头市,265.04,
南平市,264.55,
湘西自治州,263.5,
安康市,262.99,
葫芦岛市,262.35,
陇南市,256.77,
龙岩市,255.95,
佳木斯市,255.21,
呼伦贝尔市,254.93,
湘西州,254.78,
漯河市,254.41,
普洱市,254.30,
宣城市,253.30,
保山市,250.60,
三明市,250.34,
广元市,248.41,
伊犁州,248.26,
咸宁市,246.26,
丹东市,244.47,
临沧市,243.00,
黄石市,242.93,
营口市,242.85,
阳江市,242.18,
阿克苏地区,237.09,
云浮市,236.01,
商洛市,234.17,
淮南市,233.40,
通化市,232.52,
玉溪市,230.40,
安顺市,229.73,
马鞍山市,229.11,
晋城市,227.92,
延边州,227.16,
芜湖市,226.30,
三门峡市,223.39,
庆阳市,221.12,
西宁市,220.87,
延安市,218.70,
随州市,216.22,
乌兰察布市,214.36,
抚顺市,213.81,
衢州市,212.27,
丽水市,211.70,
淮北市,211.40,
来宾市,209.97,
平凉市,206.80,
海口市,204.62,
东营市,203.53,
白城市,203.31,
和田地区,201.44,
崇左市,199.43,
